2018-01-23T22:11:56.133378	sleep
2018-01-24T05:44:10.281041	home
2018-01-24T06:59:24.509949	travel
2018-01-24T07:12:22.304371	work
2018-01-24T16:08:35.478282	travel
2018-01-24T16:47:31.164776	home
2018-01-24T19:22:56.701223	work
2018-01-24T19:34:07.282464	home
2018-01-24T21:44:56.169218	sleep
2018-01-24T23:46:14.481287	work
2018-01-25T02:20:45.804840	sleep
2018-01-25T05:42:28.772740	home
2018-01-25T05:47:58.980975	work
2018-01-25T06:03:25.998684	home
2018-01-25T06:10:25.998684	work
2018-01-25T06:39:47.790719	home
2018-01-25T06:48:26.241258	travel
2018-01-25T07:13:33.598929	work
2018-01-25T17:00:00.241258	travel
2018-01-25T17:28:26.118598	home
2018-01-25T19:15:00.118598	sleep
2018-01-25T21:00:00.118598	home
2018-01-25T21:47:34.056249	sleep
2018-01-26T01:24:56.603717	work
2018-01-26T01:38:02.074616	sleep
2018-01-26T05:26:00.958860	home
2018-01-26T05:55:53.617471	work
2018-01-26T06:14:32.870649	home
2018-01-26T06:21:22.159763	travel
2018-01-26T06:45:00.514134	work
2018-01-26T17:00:00.241258	travel
2018-01-26T17:30:32.582844	home
2018-01-26T19:57:04.726427	work
2018-01-26T20:12:16.786682	home
2018-01-26T23:06:03.697208	sleep
2018-01-27T06:20:32.131387	home
2018-01-27T08:05:41.252744	work
2018-01-27T08:29:29.853284	home
2018-01-27T13:19:42.353928	work
2018-01-27T13:40:52.858048	home
2018-01-27T22:21:33.077755	sleep
2018-01-28T06:04:27.031878	home
2018-01-28T08:11:03.174889	work
2018-01-28T08:52:25.524009	home
2018-01-28T09:39:53.575371	work
2018-01-28T09:47:20.166853	home
2018-01-28T11:53:43.029773	work
2018-01-28T12:38:10.466372	home
2018-01-28T13:20:33.043101	work
2018-01-28T13:34:08.014470	home
2018-01-28T15:49:22.181698	work
2018-01-28T16:45:46.870021	home
2018-01-28T17:35:53.311802	work
2018-01-28T17:43:00.645231	home
2018-01-28T19:04:23.934553	work
2018-01-28T19:10:17.649525	home
2018-01-28T20:36:23.075666	sleep
2018-01-28T23:18:33.201859	home
2018-01-28T23:28:22.242203	sleep
2018-01-29T00:08:07.938072	work
2018-01-29T02:41:05.454391	sleep
2018-01-29T05:40:34.578071	home
2018-01-29T05:49:00.378851	work
2018-01-29T06:16:40.026452	home
2018-01-29T06:40:53.914099	travel
